Orthogroup	CAPO3	BRAFL
OG0000054	CAPO303797	bflo_20488, bflo_15707, bflo_15703, bflo_15905, bflo_15752, bflo_23344, bflo_22720, bflo_19106, bflo_09085, bflo_09133, bflo_05501, bflo_06007, bflo_03912, bflo_17229, bflo_17691, bflo_18295, bflo_18294, bflo_26044, bflo_24306, bflo_10355, bflo_13684, bflo_13746, bflo_10411, bflo_13726, bflo_13740, bflo_13675, bflo_13693, bflo_25983, bflo_26141, bflo_25284, bflo_15164
OG0000055	CAPO301479, CAPO301432	bflo_23239, bflo_23195, bflo_23241, bflo_23237
OG0000056	CAPO305974, CAPO306012, CAPO306941	bflo_12398, bflo_25516, bflo_08200, bflo_07902, bflo_08069, bflo_08326, bflo_07804, bflo_22104, bflo_25681, bflo_15952, bflo_15237, bflo_22428
OG0000058	CAPO305595	bflo_24517, bflo_05358, bflo_09194
OG0000058	CAPO307225	bflo_23140
OG0000060	CAPO305373	bflo_01659, bflo_06661, bflo_25984, bflo_26009, bflo_26723, bflo_02982, bflo_03812, bflo_03632, bflo_12626, bflo_02984, bflo_03589, bflo_02972, bflo_03696, bflo_03780, bflo_15133, bflo_15228, bflo_04988, bflo_15129, bflo_15134, bflo_15132, bflo_15227, bflo_01835, bflo_00757, bflo_01800, bflo_15783, bflo_09093, bflo_01709, bflo_01384, bflo_09821, bflo_09833, bflo_09838, bflo_09482
OG0000062	CAPO300910	bflo_17250, bflo_01624, bflo_13529, bflo_00246
OG0000063	CAPO300270	bflo_25923, bflo_11558, bflo_26060, bflo_25147, bflo_26112, bflo_25384, bflo_25322, bflo_25330, bflo_25162, bflo_25268, bflo_25241, bflo_25374, bflo_05397, bflo_25266, bflo_25753
OG0000066	CAPO308057	bflo_26507, bflo_06316, bflo_00475, bflo_00473, bflo_00474, bflo_05790, bflo_06779, bflo_06781, bflo_00120, bflo_10919, bflo_00979, bflo_20628, bflo_19878, bflo_04762, bflo_24133, bflo_04761, bflo_11842, bflo_01779, bflo_01780, bflo_03911, bflo_17245, bflo_19059, bflo_20701, bflo_20080, bflo_20702, bflo_02867, bflo_09989, bflo_19880, bflo_26636, bflo_22827
OG0000069	CAPO302182	bflo_20543, bflo_20542, bflo_20541, bflo_27333
OG0000069	CAPO301523, CAPO305173	bflo_05168, bflo_23210
OG0000079	CAPO302518	bflo_04787, bflo_15789, bflo_21965, bflo_10278, bflo_21970, bflo_21968
OG0000082	CAPO304738	bflo_15900
OG0000082	CAPO306626	bflo_04889
OG0000082	CAPO300843	bflo_00187
OG0000082	CAPO306232	bflo_13856
OG0000085	CAPO303061	bflo_00992, bflo_20461, bflo_20147, bflo_05617
OG0000085	CAPO303047	bflo_12569, bflo_17482, bflo_20149, bflo_20825, bflo_18272, bflo_18210
OG0000089	CAPO300386, CAPO300810, CAPO302098	bflo_02193, bflo_05485, bflo_04536, bflo_25331, bflo_08302, bflo_01704, bflo_02380, bflo_07198, bflo_24284, bflo_27461, bflo_24333, bflo_05569, bflo_17128, bflo_12545, bflo_05487, bflo_17962, bflo_17832, bflo_01283, bflo_21188
OG0000090	CAPO304635, CAPO304845, CAPO301336	bflo_01678
OG0000091	CAPO301134	bflo_24376, bflo_24373, bflo_24374, bflo_18056, bflo_18055, bflo_18057, bflo_27165, bflo_18268, bflo_05649, bflo_27146, bflo_06396, bflo_21154, bflo_01995, bflo_01717, bflo_21558, bflo_12883, bflo_00479, bflo_26528, bflo_26529, bflo_00481, bflo_00480, bflo_15837, bflo_17845, bflo_25328, bflo_15820, bflo_15823
OG0000095	CAPO301288, CAPO306046	bflo_25489, bflo_01865, bflo_25182, bflo_11841, bflo_01804, bflo_01739, bflo_17156, bflo_03512
OG0000096	CAPO301431	bflo_11038
OG0000096	CAPO307955	bflo_17838
OG0000096	CAPO300294	bflo_24085, bflo_09131
OG0000096	CAPO307017	bflo_03032, bflo_18893
OG0000101	CAPO306858	bflo_10195, bflo_22103, bflo_06854, bflo_05084, bflo_22415, bflo_05083, bflo_05081, bflo_22031, bflo_21326, bflo_22414, bflo_22046, bflo_05082, bflo_21328, bflo_21327, bflo_18450, bflo_07765, bflo_07393, bflo_18261, bflo_09088, bflo_24291, bflo_00022, bflo_08232, bflo_08101, bflo_08348, bflo_06024, bflo_18190, bflo_18188
OG0000103	CAPO302453	bflo_00032, bflo_11180, bflo_11085, bflo_11875, bflo_11184, bflo_11179, bflo_11874, bflo_25842, bflo_00020, bflo_18284, bflo_20618, bflo_18283, bflo_17924, bflo_17758, bflo_00063, bflo_17754, bflo_17756, bflo_17751, bflo_17755, bflo_17752, bflo_00064, bflo_17757, bflo_17750, bflo_17749, bflo_23149, bflo_23791
OG0000106	CAPO300017	bflo_13898, bflo_13906, bflo_13902, bflo_13905, bflo_13959, bflo_21022, bflo_22434, bflo_24648, bflo_24024, bflo_24023
OG0000107	CAPO301524	bflo_26398
OG0000110	CAPO300387	bflo_00375, bflo_13869, bflo_25534, bflo_09017, bflo_25934, bflo_26322, bflo_24970, bflo_24083, bflo_09015, bflo_26087, bflo_23445, bflo_05644, bflo_25083, bflo_24963
OG0000116	CAPO305622	bflo_05410, bflo_25141
OG0000119	CAPO304642	bflo_07858, bflo_19358, bflo_19300, bflo_19582, bflo_19602, bflo_19603, bflo_19479, bflo_18609, bflo_17613, bflo_19352
OG0000122	CAPO307824	bflo_02060, bflo_02098, bflo_02745, bflo_02079
OG0000124	CAPO304324	bflo_12150, bflo_12152, bflo_22917
OG0000124	CAPO302553	bflo_24557
OG0000126	CAPO301836	bflo_09507
OG0000126	CAPO302484	bflo_21252
OG0000126	CAPO300572	bflo_14089, bflo_04718
OG0000128	CAPO306991, CAPO304956	bflo_25056, bflo_06196, bflo_05801, bflo_04928, bflo_06174, bflo_04919, bflo_08083, bflo_11997, bflo_11531, bflo_11996, bflo_11513, bflo_13695, bflo_14518, bflo_14769, bflo_20024, bflo_10688
OG0000129	CAPO303361	bflo_20410, bflo_10761, bflo_09267, bflo_24123, bflo_24146, bflo_21811, bflo_16345, bflo_20193
OG0000137	CAPO305369	bflo_09259, bflo_06365, bflo_20235, bflo_02070, bflo_04279, bflo_15519, bflo_14495, bflo_03009, bflo_18504, bflo_17184, bflo_22195, bflo_08835, bflo_10584, bflo_17627, bflo_17554, bflo_17629, bflo_17769
OG0000142	CAPO302031, CAPO302030	bflo_03118, bflo_25749, bflo_08776
OG0000147	CAPO308132	bflo_01706
OG0000147	CAPO304230	bflo_09430
OG0000149	CAPO305206, CAPO306214	bflo_07000, bflo_07018, bflo_07764, bflo_07398, bflo_13976, bflo_13431, bflo_02277, bflo_07407, bflo_07834
OG0000157	CAPO305956	bflo_08074
OG0000157	CAPO302981	bflo_23373
OG0000157	CAPO305824	bflo_10928, bflo_12452, bflo_13284
OG0000160	CAPO301680	bflo_01705
OG0000167	CAPO301364, CAPO303476	bflo_06660, bflo_06634, bflo_00939, bflo_07169, bflo_21989, bflo_00867
OG0000171	CAPO304813	bflo_20303, bflo_21876, bflo_20611, bflo_20254, bflo_09581, bflo_14570, bflo_10289, bflo_09991, bflo_03045, bflo_02518, bflo_17344, bflo_07453
OG0000174	CAPO304629	bflo_06008, bflo_06009, bflo_00753, bflo_12996, bflo_07672, bflo_00899, bflo_08123, bflo_10447
OG0000175	CAPO303920	bflo_13246, bflo_27066, bflo_13038
OG0000179	CAPO300694	bflo_08207, bflo_09019, bflo_09021
OG0000179	CAPO303342	bflo_26285, bflo_26298, bflo_13642, bflo_13826
OG0000181	CAPO301108	bflo_18642
OG0000181	CAPO302034	bflo_10985
OG0000181	CAPO307692	bflo_08690
OG0000181	CAPO300374	bflo_05297
OG0000183	CAPO305638	bflo_07655
OG0000183	CAPO302591	bflo_23164
OG0000183	CAPO305829	bflo_10143
OG0000184	CAPO304928	bflo_00050, bflo_00051, bflo_04054, bflo_15781
OG0000186	CAPO301875	bflo_22026, bflo_22016
OG0000192	CAPO300533	bflo_12888
OG0000192	CAPO301980	bflo_22744
OG0000193	CAPO302628	bflo_26043, bflo_25943, bflo_25868, bflo_26133, bflo_09355, bflo_20086, bflo_20903
OG0000194	CAPO305195	bflo_21202, bflo_21234, bflo_21437, bflo_25298, bflo_22596, bflo_13875, bflo_04521, bflo_09655, bflo_21442, bflo_16208, bflo_22482, bflo_21915, bflo_13415
OG0000195	CAPO305454	bflo_12247, bflo_11387, bflo_11071, bflo_22055, bflo_06670, bflo_06671, bflo_06263, bflo_21166
OG0000201	CAPO307729	bflo_22807
OG0000201	CAPO300462	bflo_20635
OG0000203	CAPO302139	bflo_18229, bflo_01170, bflo_25089, bflo_24339, bflo_24029, bflo_24028, bflo_24027, bflo_25088, bflo_24026, bflo_11704
OG0000204	CAPO303090	bflo_24561, bflo_03215, bflo_03487, bflo_03064
OG0000207	CAPO304105, CAPO304106, CAPO304714	bflo_18047, bflo_16828, bflo_15604, bflo_27157, bflo_15737, bflo_21694, bflo_15609, bflo_15622, bflo_13202
OG0000211	CAPO306209	bflo_12798, bflo_24378, bflo_09336, bflo_12040, bflo_25935, bflo_18019, bflo_09637, bflo_14216, bflo_06051, bflo_25629, bflo_06787
OG0000218	CAPO300559	bflo_03730, bflo_03990, bflo_03994, bflo_12836, bflo_00660, bflo_12835, bflo_20676, bflo_04003, bflo_04004, bflo_12871, bflo_08530, bflo_09464
OG0000220	CAPO306780, CAPO307695	bflo_07899, bflo_05704, bflo_07651
OG0000221	CAPO300247	bflo_02108, bflo_18535, bflo_18534, bflo_24796, bflo_00282
OG0000222	CAPO304211	bflo_14099, bflo_07131, bflo_00039, bflo_14098, bflo_15183, bflo_14097, bflo_00040, bflo_14514, bflo_24486, bflo_24255, bflo_05542
OG0000223	CAPO308126	bflo_26185, bflo_06096, bflo_21357, bflo_09246, bflo_10307, bflo_21359, bflo_21358
OG0000225	CAPO305347	bflo_11467, bflo_12198
OG0000226	CAPO306934	bflo_12072, bflo_17738
OG0000226	CAPO303463	bflo_20217, bflo_01950, bflo_20215, bflo_20642, bflo_01174
OG0000234	CAPO301359	bflo_07045, bflo_04797
OG0000238	CAPO305428	bflo_23355, bflo_22808
OG0000239	CAPO302089	bflo_02548, bflo_05968, bflo_02152
OG0000240	CAPO303214	bflo_04930
OG0000240	CAPO303372	bflo_08297, bflo_08298
OG0000242	CAPO304847	bflo_12023
OG0000244	CAPO301556	bflo_12462, bflo_13161, bflo_26804, bflo_05824
OG0000246	CAPO303496	bflo_18308, bflo_04734, bflo_17998, bflo_02064, bflo_02119, bflo_00811, bflo_01094, bflo_01324, bflo_01096, bflo_00005, bflo_00017, bflo_04772
OG0000248	CAPO307635, CAPO302481, CAPO302487	bflo_17506, bflo_17504, bflo_00059, bflo_17505, bflo_17510, bflo_17509, bflo_17511, bflo_17358
OG0000250	CAPO305827	bflo_14740
OG0000255	CAPO306632	bflo_20253
OG0000255	CAPO301531	bflo_25398, bflo_21759
OG0000255	CAPO300499	bflo_02995, bflo_03545, bflo_03501, bflo_09026, bflo_10822, bflo_26943, bflo_10188
OG0000256	CAPO307884	bflo_15939
OG0000256	CAPO306483	bflo_05770, bflo_15447, bflo_15439, bflo_16355, bflo_06565, bflo_06704, bflo_05769, bflo_05771, bflo_02366
OG0000257	CAPO300414	bflo_06086, bflo_05561, bflo_05804, bflo_18300, bflo_06543, bflo_20393
OG0000258	CAPO301106	bflo_22962
OG0000258	CAPO301746	bflo_12243, bflo_27029, bflo_09846
OG0000260	CAPO300399	bflo_11239
OG0000265	CAPO306126	bflo_15782
OG0000265	CAPO306540	bflo_11416
OG0000271	CAPO304641	bflo_08829, bflo_18695, bflo_18719, bflo_05948, bflo_05145, bflo_03702, bflo_08830
OG0000273	CAPO305109	bflo_25314
OG0000273	CAPO300804	bflo_20358
OG0000273	CAPO306869	bflo_01441, bflo_15082
OG0000277	CAPO303621	bflo_21003
OG0000277	CAPO301295	bflo_08414, bflo_08390
OG0000277	CAPO300254	bflo_05976
OG0000278	CAPO300620	bflo_05819
OG0000278	CAPO305822	bflo_14160
OG0000278	CAPO302023	bflo_07463
OG0000282	CAPO308183	bflo_18668, bflo_10082, bflo_16486, bflo_09504
OG0000284	CAPO305695	bflo_05726, bflo_25543
OG0000285	CAPO303377	bflo_18439, bflo_18219, bflo_09827, bflo_17238, bflo_09824, bflo_09850, bflo_24883, bflo_24881, bflo_02754, bflo_20355, bflo_06179, bflo_17153, bflo_09825, bflo_08255, bflo_13934, bflo_09883, bflo_20356, bflo_20983, bflo_14693, bflo_09985
OG0000288	CAPO305142	bflo_24635, bflo_23387, bflo_01422, bflo_26633, bflo_01668, bflo_01426
OG0000289	CAPO307835	bflo_06472, bflo_25546, bflo_09861, bflo_09862
OG0000295	CAPO302113, CAPO302799	bflo_15031, bflo_15027, bflo_15026, bflo_05281, bflo_12069, bflo_22289, bflo_22293, bflo_22290, bflo_21639, bflo_22292, bflo_23384
OG0000299	CAPO306599	bflo_05834
OG0000305	CAPO307183	bflo_00776
OG0000306	CAPO308212	bflo_26863, bflo_07664
OG0000308	CAPO304037	bflo_21090, bflo_19079
OG0000308	CAPO303083	bflo_23683
OG0000310	CAPO305978	bflo_21799, bflo_21828, bflo_21878, bflo_21890, bflo_21800, bflo_21316, bflo_21317, bflo_11809, bflo_11498, bflo_22698
OG0000312	CAPO304557	bflo_02438, bflo_02608
OG0000312	CAPO302691	bflo_14984
OG0000313	CAPO307072	bflo_07081, bflo_24346
OG0000313	CAPO301348	bflo_11036
OG0000314	CAPO304303	bflo_14662, bflo_25178, bflo_14280, bflo_06129
OG0000315	CAPO307611	bflo_19863
OG0000315	CAPO308167	bflo_11459
OG0000317	CAPO306620	bflo_27179, bflo_16112
OG0000319	CAPO303225	bflo_00251, bflo_19186, bflo_00198, bflo_07017, bflo_19159
OG0000320	CAPO304008	bflo_02185, bflo_02809, bflo_02811, bflo_02563, bflo_02182
OG0000321	CAPO307156	bflo_24234
OG0000322	CAPO306406	bflo_26971, bflo_08922, bflo_08920, bflo_15138
OG0000326	CAPO308358, CAPO307947	bflo_24771
OG0000326	CAPO303322	bflo_24244, bflo_18099, bflo_05436, bflo_02499, bflo_17884, bflo_00946, bflo_00937, bflo_00010, bflo_00928, bflo_00963, bflo_15022
OG0000327	CAPO308120	bflo_09079, bflo_08966, bflo_02571
OG0000335	CAPO307753	bflo_13943, bflo_13416, bflo_12614
OG0000338	CAPO304735	bflo_20075, bflo_21195, bflo_13201
OG0000339	CAPO305264	bflo_12910, bflo_12916, bflo_12912, bflo_12913, bflo_20893
OG0000343	CAPO306429	bflo_17341
OG0000345	CAPO300769	bflo_10887, bflo_01446
OG0000352	CAPO300356	bflo_25258, bflo_17369, bflo_04494
OG0000357	CAPO301487	bflo_12361
OG0000359	CAPO305417	bflo_23810
OG0000359	CAPO301540	bflo_20615, bflo_21858, bflo_21418, bflo_21948, bflo_11427, bflo_22311, bflo_01605
OG0000359	CAPO306866	bflo_14379
OG0000360	CAPO300757	bflo_20148, bflo_14730, bflo_14063, bflo_11395
OG0000364	CAPO301330, CAPO300908	bflo_14291, bflo_14100, bflo_14716, bflo_14231, bflo_14483, bflo_14714, bflo_14717, bflo_04062, bflo_04061, bflo_01643
OG0000367	CAPO301272	bflo_12373, bflo_12346, bflo_01421
OG0000371	CAPO307503	bflo_00380, bflo_00387, bflo_05979, bflo_00717, bflo_00558, bflo_00557, bflo_12841, bflo_13645, bflo_22030, bflo_00233
OG0000372	CAPO307553	bflo_24061, bflo_15126, bflo_06799
OG0000373	CAPO301744	bflo_20268, bflo_20832
OG0000385	CAPO300182, CAPO305781, CAPO305517	bflo_19604, bflo_18599
OG0000390	CAPO301433, CAPO301477	bflo_20343
OG0000390	CAPO307000	bflo_25891, bflo_26408, bflo_26409, bflo_25447, bflo_25163, bflo_18345, bflo_26258, bflo_25303, bflo_25449, bflo_25448, bflo_13087, bflo_12207, bflo_12214, bflo_11201, bflo_20666, bflo_21189
OG0000392	CAPO300351	bflo_25334
OG0000393	CAPO307627	bflo_09981, bflo_03395, bflo_12314, bflo_10658, bflo_09983, bflo_13075, bflo_09730, bflo_12974
OG0000397	CAPO304372	bflo_09318
OG0000399	CAPO302781	bflo_18860, bflo_06800, bflo_08038
OG0000402	CAPO300999	bflo_10632, bflo_09977, bflo_13338, bflo_13171
OG0000405	CAPO300636	bflo_06572
OG0000412	CAPO306116	bflo_00225
OG0000412	CAPO307159	bflo_08591, bflo_05972, bflo_16322
OG0000413	CAPO302663	bflo_14739
OG0000413	CAPO304678	bflo_21427
OG0000416	CAPO300647, CAPO303519	bflo_04749, bflo_04759, bflo_04753, bflo_04751, bflo_23726, bflo_04750, bflo_13638, bflo_04314, bflo_21859, bflo_20431, bflo_03943, bflo_03733, bflo_03953, bflo_04315, bflo_05100, bflo_04313, bflo_03960, bflo_18679
OG0000416	CAPO305980	bflo_16885
OG0000419	CAPO304227	bflo_07379
OG0000420	CAPO307162	bflo_17746, bflo_20236, bflo_23413, bflo_23958, bflo_23642, bflo_23570, bflo_23412, bflo_07686, bflo_23569, bflo_23414, bflo_07685
OG0000422	CAPO301071	bflo_20982, bflo_11502, bflo_05277, bflo_15253, bflo_03122, bflo_12339, bflo_12202, bflo_03208, bflo_03583, bflo_03582, bflo_09071, bflo_09073, bflo_09072, bflo_10694, bflo_10695, bflo_10366, bflo_13454, bflo_25701, bflo_13455, bflo_20656, bflo_06464, bflo_06521, bflo_06519, bflo_05957, bflo_26338, bflo_02718, bflo_06687, bflo_01841
OG0000424	CAPO302770, CAPO306814	bflo_07069, bflo_07072, bflo_03509, bflo_03507
OG0000426	CAPO306829	bflo_10409, bflo_22865
OG0000427	CAPO303813	bflo_09135
OG0000431	CAPO304684	bflo_21622
OG0000433	CAPO304838, CAPO302573	bflo_17648
OG0000434	CAPO304471	bflo_06489, bflo_26431, bflo_06673, bflo_06457, bflo_06459
OG0000435	CAPO308080	bflo_17533, bflo_00433, bflo_09468
OG0000436	CAPO305799	bflo_26554, bflo_00824
OG0000437	CAPO300952	bflo_16797, bflo_13738, bflo_16390, bflo_13496
OG0000442	CAPO302753, CAPO302633	bflo_17568
OG0000444	CAPO305423	bflo_10204
OG0000444	CAPO301239	bflo_10684
OG0000445	CAPO301584	bflo_24863, bflo_01964, bflo_05054, bflo_18289, bflo_00589, bflo_06262, bflo_07278
OG0000447	CAPO300691	bflo_14311
OG0000450	CAPO307586, CAPO307446	bflo_20906
OG0000453	CAPO305025	bflo_05750, bflo_12764, bflo_12115, bflo_07044, bflo_11775, bflo_17995, bflo_20915, bflo_11283, bflo_15292, bflo_21781, bflo_02998, bflo_07650
OG0000454	CAPO301952	bflo_06561
OG0000461	CAPO303645, CAPO304085, CAPO303531	bflo_07181, bflo_00203
OG0000461	CAPO307456	bflo_20096
OG0000467	CAPO302214	bflo_11110
OG0000468	CAPO302003, CAPO303185	bflo_03275, bflo_03654, bflo_03645, bflo_03264, bflo_03637, bflo_12349, bflo_09961, bflo_09959, bflo_09520, bflo_23431
OG0000469	CAPO306584, CAPO302277	bflo_11324
OG0000470	CAPO307521	bflo_08491
OG0000475	CAPO303779	bflo_02919
OG0000476	CAPO306104	bflo_06569, bflo_06568, bflo_06570
OG0000479	CAPO303549	bflo_17734
OG0000479	CAPO304267	bflo_20950
OG0000480	CAPO307201	bflo_24500, bflo_24748
OG0000481	CAPO300053	bflo_20169, bflo_20171
OG0000481	CAPO304800	bflo_15712
OG0000481	CAPO304355	bflo_07346
OG0000484	CAPO304750	bflo_25251
OG0000485	CAPO303224, CAPO303026	bflo_18606, bflo_25560, bflo_16150
OG0000486	CAPO306048, CAPO306972	bflo_25698, bflo_15799, bflo_16994, bflo_13974, bflo_02817, bflo_07531
OG0000488	CAPO305871	bflo_26845, bflo_07048
OG0000494	CAPO300277	bflo_21012
OG0000505	CAPO303790, CAPO306121	bflo_07767
OG0000506	CAPO304587	bflo_22129
OG0000508	CAPO303408, CAPO307945	bflo_18835
OG0000508	CAPO302590	bflo_00915
OG0000510	CAPO303128, CAPO305095	bflo_00250
OG0000511	CAPO301322	bflo_17465, bflo_18144, bflo_11858, bflo_11715, bflo_17885, bflo_17189, bflo_04922, bflo_18145, bflo_18143
OG0000514	CAPO307292	bflo_04358
OG0000516	CAPO302072	bflo_04958, bflo_04964, bflo_04978, bflo_04972, bflo_04974, bflo_04979, bflo_04981, bflo_04962, bflo_04969, bflo_04966, bflo_04961, bflo_04983, bflo_04986, bflo_04976, bflo_04732, bflo_03764, bflo_22939, bflo_13085, bflo_13506
OG0000519	CAPO300709	bflo_04746, bflo_19841
OG0000520	CAPO304720	bflo_23733, bflo_07206
OG0000522	CAPO306204	bflo_10022, bflo_10021
OG0000528	CAPO300417	bflo_24671, bflo_03193, bflo_02141, bflo_02200, bflo_07977, bflo_08060
OG0000530	CAPO306919	bflo_25160
OG0000532	CAPO301913	bflo_01721, bflo_17770
OG0000548	CAPO307253, CAPO307370	bflo_09374, bflo_10945, bflo_11390
OG0000549	CAPO305341	bflo_01736, bflo_06860, bflo_06875, bflo_06867, bflo_06869, bflo_06873, bflo_08772, bflo_09508, bflo_08773, bflo_17976, bflo_10802, bflo_09069, bflo_07906
OG0000551	CAPO305700	bflo_12938, bflo_07425, bflo_12554
OG0000552	CAPO302805	bflo_07608, bflo_14381, bflo_22570, bflo_14667
OG0000553	CAPO302261	bflo_01191, bflo_23301
OG0000554	CAPO300205	bflo_16926, bflo_02569, bflo_04899, bflo_10796, bflo_02002
